id,label,timeset,3,2,0,1,4,5,modularity_class,eigencentrality,author-year,citation
GhY8AH7f45gJ,"GJ Fraser, 2016",,2016,GJ Fraser,http://www.otago.ac.nz/law/otago638163.pdf,Legal personhood for animals in New Zealand,,,0,0.04398628762386861,"GJ Fraser, 2016","GJ Fraser, 2016"
17423801329278082391,"J Wall, 2015",,2015,J Wall,https://books.google.com/books?hl=en&lr=&id=9BSCCQAAQBAJ&oi=fnd&pg=PP1&ots=F44QDIiMV_&sig=JzcBk1dTzECF3KejV4aSUwjmzDU,"Being and Owning: The Body, Bodily Material, and the Law",7,"https://scholar.google.com/scholar?cites=17423801329278082391&as_sdt=2005&sciodt=0,5&hl=en",0,0.17618217535519382,"J Wall, 2015","J Wall, 2015"
FHF9E_v0lUkJ,"EJ Smith, 2017",,2017,EJ Smith,https://www.otago.ac.nz/law/research/journals/otago672746.pdf,"Property Rights, Gametes, and Individual Autonomy",,,0,0.04398628762386861,"EJ Smith, 2017","EJ Smith, 2017"
X_a5NYOWdPYJ,"J Wall, 2017",,2017,J Wall,https://www.cambridge.org/core/journals/international-journal-of-law-in-context/article/functionalformal-impasse-in-trust-property/A352B12DBCCCB301AF4B03735CBFAB8C,The functional–formal impasse in (trust) property,,,0,0.04398628762386861,"J Wall, 2017","J Wall, 2017"
8024708208840943481,"M Fanello, 2016",,2016,M Fanello,https://lra.le.ac.uk/handle/2381/37981,Later Iron Age Coinage in Britain: Reconstructing Insular Social Structures and Systems of Value,,,0,0.04398628762386861,"M Fanello, 2016","M Fanello, 2016"
1521489997737068088,"M Quigley, 2018",,2018,M Quigley,,"[CITATION][C] Self-Ownership, Property Rights, and the Human Body: A Legal and Philosophical Analysis",,,0,0.04398628762386861,"M Quigley, 2018","M Quigley, 2018"
15164753329509644737,"J Herring, J Wall, 2017",,2017,"J Herring, J Wall",https://www.cambridge.org/core/journals/cambridge-law-journal/article/nature-and-significance-of-the-right-to-bodily-integrity/79703F3BE9C5C21BB76338C050E951BC,THE NATURE AND SIGNIFICANCE OF THE RIGHT TO BODILY INTEGRITY,1,"https://scholar.google.com/scholar?cites=15164753329509644737&as_sdt=2005&sciodt=0,5&hl=en",0,0.04996102119224852,"J Herring, J Wall, 2017","J Herring, J Wall, 2017"
9948490488053570122,"G Schweiger, G Graf, 2018",,2018,"G Schweiger, G Graf",http://budrich-journals.de/index.php/diskurs/article/view/30904,Körperstrafen als moralisches Übel,,,0,0.014486655374140239,"G Schweiger, G Graf, 2018","G Schweiger, G Graf, 2018"
6NE0-qU5EbwJ,"P CLIFFORD, 2017",,2017,P CLIFFORD,https://www.otago.ac.nz/law/research/journals/otago672734.pdf,MY BODY & I: A NOVEL JUSTIFICATION FOR A NO-FAULT COMPENSATION SCHEME,,,0,0.04398628762386861,"P CLIFFORD, 2017","P CLIFFORD, 2017"
7828242426326646006,"KJ Knudson, CM Stojanowski, 2008",,2008,"KJ Knudson, CM Stojanowski",https://link.springer.com/article/10.1007/s10814-008-9024-4,New directions in bioarchaeology: Recent contributions to the study of human social identities,171,"https://scholar.google.com/scholar?cites=7828242426326646006&as_sdt=2005&sciodt=0,5&hl=en",1,0.36635014700981194,"KJ Knudson, CM Stojanowski, 2008","KJ Knudson, CM Stojanowski, 2008"
8748346449102412182,"M Lubenow, 1992",,1992,M Lubenow,,Bones of contention: A comparative examination of law governing human remains from archaeological...,,,2,1.0,"M Lubenow, 1992","M Lubenow, 1992"
10341029148208895761,"MK Zuckerman, GJ Armelagos, 2011",,2011,"MK Zuckerman, GJ Armelagos",http://onlinelibrary.wiley.com/doi/10.1002/9781444390537.ch2/summary,The origins of biocultural dimensions in bioarchaeology,58,"https://scholar.google.com/scholar?cites=10341029148208895761&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"MK Zuckerman, GJ Armelagos, 2011","MK Zuckerman, GJ Armelagos, 2011"
2252819996314481530,"SE Hollimon, 2011",,2011,SE Hollimon,http://onlinelibrary.wiley.com/doi/10.1002/9781444390537.ch6/summary,Sex and gender in bioarchaeological research,55,"https://scholar.google.com/scholar?cites=2252819996314481530&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"SE Hollimon, 2011","SE Hollimon, 2011"
11151988767487438357,"GR Schug, KE Blevins, B Cox, K Gray…, 2013",,2013,"GR Schug, KE Blevins, B Cox, K Gray…",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0084814,"Infection, disease, and biosocial processes at the end of the Indus Civilization",41,"https://scholar.google.com/scholar?cites=11151988767487438357&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"GR Schug, KE Blevins, B Cox, K Gray…, 2013","GR Schug, KE Blevins, B Cox, K Gray…, 2013"
11184041727352138037,"BA Glencross, 2011",,2011,BA Glencross,http://onlinelibrary.wiley.com/doi/10.1002/9781444390537.ch14/summary,Skeletal injury across the life course,41,"https://scholar.google.com/scholar?cites=11184041727352138037&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"BA Glencross, 2011","BA Glencross, 2011"
6611440212929350063,"K Jonsson, 2009",,2009,K Jonsson,http://www.diva-portal.org/smash/record.jsf?pid=diva2:240817,Practices for the living and the dead: medieval and post-Reformation burials in Scandinavia,35,"https://scholar.google.com/scholar?cites=6611440212929350063&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"K Jonsson, 2009","K Jonsson, 2009"
8824201241669269378,"SC Agarwal, 2012",,2012,SC Agarwal,http://onlinelibrary.wiley.com/doi/10.1111/j.1548-1433.2012.01428.x/full,"The past of sex, gender, and health: bioarchaeology of the aging skeleton",38,"https://scholar.google.com/scholar?cites=8824201241669269378&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"SC Agarwal, 2012","SC Agarwal, 2012"
6177391479265736749,"SJ Marsteller, C Torres-Rouff, KJ Knudson, 2011",,2011,"SJ Marsteller, C Torres-Rouff, KJ Knudson",https://www.sciencedirect.com/science/article/pii/S1879981711000040,Pre-Columbian Andean sickness ideology and the social experience of leishmaniasis: a contextualized analysis of bioarchaeological and paleopathological data from …,35,"https://scholar.google.com/scholar?cites=6177391479265736749&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"SJ Marsteller, C Torres-Rouff, KJ Knudson, 2011","SJ Marsteller, C Torres-Rouff, KJ Knudson, 2011"
4873329603678557833,"HD Klaus, J Centurión, M Curo, 2010",,2010,"HD Klaus, J Centurión, M Curo",https://www.cambridge.org/core/journals/antiquity/article/bioarchaeology-of-human-sacrifice-violence-identity-and-the-evolution-of-ritual-killing-at-cerro-cerrillos-peru/32B2960D8906EC1B4ABA92629A59CA21,"Bioarchaeology of human sacrifice: violence, identity and the evolution of ritual killing at Cerro Cerrillos, Peru",30,"https://scholar.google.com/scholar?cites=4873329603678557833&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"HD Klaus, J Centurión, M Curo, 2010","HD Klaus, J Centurión, M Curo, 2010"
1460374730563944510,"S Stefanović, M Porčić, 2013",,2013,"S Stefanović, M Porčić",http://onlinelibrary.wiley.com/doi/10.1002/oa.1243/full,Between‐group Differences in the Patterning of Musculo‐skeletal Stress Markers: Avoiding Confounding Factors by Focusing on Qualitative Aspects of Physical …,27,"https://scholar.google.com/scholar?cites=1460374730563944510&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"S Stefanović, M Porčić, 2013","S Stefanović, M Porčić, 2013"
14770327547083302351,"RA Bentley, 2013",,2013,RA Bentley,https://www.sciencedirect.com/science/article/pii/S0278416512000104,Mobility and the diversity of Early Neolithic lives: isotopic evidence from skeletons,28,"https://scholar.google.com/scholar?cites=14770327547083302351&as_sdt=2005&sciodt=0,5&hl=en",1,0.07717332202007948,"RA Bentley, 2013","RA Bentley, 2013"
